Point:143   (9261.5,10346) house
Point:808   (9287.5,17828) office38
Point:806   (9291,17769) office38
Point:810   (9297,17887.5) office38
Point:144   (9311.5,10296) house
Point:145   (9311.5,10346) house
Point:809   (9337,17847) house
Point:807   (9358.5,17707) office38
Point:148   (9392.5,10905) shoppingmall
Point:811   (9408.5,17707) office38
Point:870   (9431.5,22219) shoppingmall
Point:129   (9470.5,8776) house
Point:812   (9471,18097) university
Point:146   (9486.5,10528) house
Point:1313   (9491,25015) house
Point:147   (9508.5,10420) house
Point:868   (9509.5,21361) house
Point:134   (9537.5,10143) house
Point:198   (9538,14276) house
Point:875   (9554.5,22837) house
Point:869   (9559.5,21361) house
Point:130   (9575.5,8739) house
Point:206   (9579,15757.5) house
Point:135   (9587.5,10143) house
Point:131   (9596.5,8806) house
Point:876   (9604.5,22837) house
Point:132   (9646,9934.5) house
Point:877   (9654.5,22837) house
Point:133   (9672.5,9957) house
Point:1315   (9694.5,24967) house
Point:136   (9708.5,10095) house
Point:1314   (9720.5,24860) house
Point:207   (9725.5,15840) hospital
Point:199   (9730.5,14191) house
Point:200   (9730.5,14241) house
Point:201   (9730.5,14291) house
Point:1316   (9744.5,24967) house
Point:1319   (9786.5,25198.5) house
Point:1317   (9794.5,24967) house
Point:1320   (9824.5,25177) house
Point:1318   (9844.5,24967) house
Point:1321   (9863,25203) house
Point:202   (9868,13577.5) house
Point:871   (9873.5,22136) house
Point:1322   (9895.5,25181.5) house
Point:208   (9907.5,15924) house
Point:1335   (9953,31175.5) house
Point:203   (9954.5,13597.5) house
Point:1323   (9994,25218.5) house
Point:872   (10024,22124.5) house
Point:137   (10071.5,10022) house
Point:209   (10126,16033) house
Point:813   (10130.5,18211.5) house
Point:879   (10133,23302.5) house
Point:878   (10140,23252) house
Point:880   (10232,23623) hospital
Point:215   (10257.5,16207) house
Point:815   (10267,17682.5) house
Point:165   (10274,10534.5) house
Point:149   (10289.5,10112) house
Point:216   (10307.5,16207) house
Point:848   (10314.5,19488) office38
Point:166   (10319,10584.5) house
Point:850   (10342.5,19629) house
Point:217   (10357.5,16207) house
Point:1337   (10359.5,30524) shoppingmall
Point:849   (10364.5,19488) office38
Point:882   (10364.5,21922.5) house
Point:851   (10440.5,19530) office38
Point:1331   (10440.5,28067) shoppingmall
Point:218   (10454.5,16168) house
Point:853   (10474,19672.5) office38
Point:852   (10490.5,19530) office38
Point:219   (10504.5,16168) house
Point:167   (10508.5,10774) house
Point:168   (10508.5,10824) house
Point:854   (10512.5,19724) office38
Point:881   (10518.5,21132) hotel
Point:210   (10533.5,12899) shoppingmall
Point:855   (10540.5,19530) office38
Point:888   (10637,24052.5) house
Point:856   (10691.5,19559.5) shoppingmall
Point:889   (10717.5,24043.5) house
Point:846   (10863.5,19449) office38
Point:220   (10872.5,15858) shoppingmall
Point:890   (10907,24164.5) house
Point:847   (10913.5,19449) office38
Point:169   (10938.5,11276) shoppingmall
Point:891   (11034.5,24331) house
Point:1336   (11055,29269) hospital
Point:1329   (11058,27109) house
Point:1342   (11060,31034) house
Point:887   (11096.5,23306.5) house
Point:892   (11113.5,24544.5) house
Point:1330   (11116.5,27157) house
Point:816   (11154.5,17498) house
Point:842   (11196.5,18552) office38
Point:844   (11220.5,18789) house
Point:845   (11220.5,18839) office38
Point:1325   (11235.5,24850.5) house
Point:1332   (11242.5,27988) house
Point:843   (11246.5,18552) office38
Point:818   (11248,17699.5) house
Point:814   (11260.5,17412) house
Point:817   (11260.5,17462) house
Point:211   (11276,13082.5) house
Point:189   (11283.5,11427) house
Point:886   (11295,22643.5) house
Point:835   (11312.5,17782.5) office38
Point:883   (11321.5,21585.5) house
Point:174   (11326.5,10904.5) house
Point:190   (11333.5,11427) house
Point:834   (11370.5,17679) office38
Point:179   (11380.5,11251) house
Point:857   (11390.5,18643) office38
Point:173   (11407.5,10831) house
Point:1338   (11412.5,29330.5) house
Point:1352   (11414.5,32091) house
Point:1353   (11414.5,32141) house
Point:180   (11430.5,11251) house
Point:861   (11449.5,18890) house
Point:177   (11452.5,10915) house
Point:175   (11457.5,10831) house
Point:858   (11478.5,18456) office38
Point:859   (11478.5,18506) office38
Point:860   (11491.5,18636) hospital
Point:836   (11492.5,17730) office38
Point:155   (11495.5,9630) house
Point:156   (11495.5,9680) house
Point:1339   (11496.5,29370) house
Point:178   (11502.5,10915) house
Point:176   (11507.5,10831) house
Point:191   (11517,11424) house
Point:192   (11526.5,11504) house
Point:1340   (11534.5,29351.5) house
Point:893   (11544.5,22601) house
Point:158   (11545.5,9630) house
Point:159   (11545.5,9680) house
Point:837   (11546.5,17621) office38
Point:1346   (11552.5,31317) house
Point:181   (11557.5,10831) house
Point:1341   (11574.5,29399) house
Point:193   (11576.5,11504) house
Point:839   (11582.5,17696) hotel
Point:225   (11590.5,15547) house
Point:157   (11598.5,9330.5) house
Point:1347   (11602.5,31317) house
Point:1348   (11602.5,31460) house
Point:1349   (11602.5,31510) house
Point:182   (11604.5,11191) house
Point:1344   (11605.5,30871) house
Point:161   (11608.5,9806) house
Point:194   (11626.5,11504) house
Point:819   (11626.5,17157.5) office38
Point:1326   (11641.5,25408.5) shoppingmall
Point:150   (11642.5,9208) house
Point:170   (11642.5,10504) house
Point:1343   (11652,30759.5) house
Point:228   (11655.5,15732) house
Point:1345   (11655.5,30871) house
Point:212   (11661,13282) house
Point:838   (11669.5,17612) shoppingmall
Point:195   (11676.5,11504) house
Point:160   (11677.5,9695) house
Point:226   (11685,15594.5) house
Point:840   (11690,17698) office38
Point:151   (11692.5,9208) house
Point:1350   (11698.5,31537) house
Point:230   (11705.5,15732) house
Point:229   (11714.5,15663.5) house
Point:162   (11716.5,10116) hospital
Point:213   (11718,13314) house
Point:221   (11720.5,14877) hospital
Point:152   (11721,9167) house
Point:196   (11726.5,11504) house
Point:227   (11744.5,15612) house
Point:197   (11747,11445.5) house
Point:172   (11755.5,10541) house
Point:232   (11755.5,15732) house
Point:1333   (11761,27655) house
Point:214   (11763,13295) house
Point:171   (11769.5,10401) house
Point:231   (11777.5,15658.5) house
Point:183   (11802,10277) house
Point:164   (11803,9741) house
Point:185   (11805.5,10541) house
Point:233   (11805.5,15732) house
Point:184   (11819.5,10401) house
Point:828   (11836.5,17159) office38
Point:1351   (11836.5,31580) hospital
Point:829   (11886.5,17159) office38
Point:1327   (11965.5,25699) house
Point:163   (11994.5,9576) house
Point:885   (12011.5,22415) hospital
Point:1356   (12027.5,32412) house
Point:1357   (12035.5,32591) house
Point:1358   (12085.5,32591) house
Point:830   (12086.5,17043) office38
Point:222   (12131.5,15264) house
Point:188   (12135,10981) house
Point:1359   (12135.5,32591) house
Point:831   (12136.5,17043) office38
Point:820   (12148.5,16813) office38
Point:821   (12148.5,16863) office38
Point:186   (12166.5,10588) house
Point:1334   (12168,27787.5) house
Point:822   (12173.5,16719) house
Point:223   (12181.5,15264) house
Point:1360   (12185.5,32591) house
Point:833   (12186.5,17043) office38
Point:153   (12191.5,8943) house
Point:832   (12198.5,16941) office38
Point:884   (12211.5,21626) house
Point:187   (12216.5,10588) house
Point:824   (12222.5,16789) house
Point:224   (12231.5,15264) house
Point:1354   (12237.5,31887) house
Point:825   (12242.5,16817.5) house
Point:826   (12248,16852.5) house
Point:154   (12264,8973.5) house
Point:823   (12264.5,16739) office38
Point:1328   (12276,25638) house
Point:827   (12285.5,16887.5) house
Point:841   (12287,18062) office38
Point:1355   (12287.5,31887) house
Point:897   (12302.5,17048) house
Point:894   (12323,16840) house
Point:401   (12333.5,15473) office24
Point:246   (12336.5,10591) house
Point:1481   (12337.5,31887) house
Point:1361   (12342.5,25329) house
Point:925   (12345.5,18107) house
Point:926   (12345.5,18157) house
Point:896   (12379.5,17031.5) house
Point:402   (12383.5,15473) office24
Point:1398   (12387.5,26907) house
Point:1362   (12392.5,25329) house
Point:898   (12418,17080.5) house
Point:110   (12421.5,6907.5) house
Point:924   (12425.5,18035.5) house
Point:1399   (12437.5,26907) house
Point:1363   (12442.5,25329) house
Point:899   (12451,17105.5) house
Point:403   (12472.5,15551.5) office38
Point:1365   (12480.5,25652) house
Point:1400   (12487.5,26907) house
Point:1368   (12493,26424.5) house
Point:1397   (12510.5,26827) house
Point:338   (12514.5,12684) office38
Point:927   (12542.5,17977) house
Point:1366   (12546,25616) house
Point:249   (12547.5,11466) shoppingmall
Point:409   (12549.5,16340) office24
Point:404   (12556.5,15590) office24
